,Leg1CF,Leg2CF,V(xt(-0.1)),V(xt(0)),V(xt(0.4)),Leg1Rate(xt(-0.1)),Leg1Rate(xt(0)),Leg1Rate(xt(0.4)),Leg2Rate(xt(-0.1)),Leg2Rate(xt(0)),Leg2Rate(xt(0.4)),Leg1_Payoff_FwdMsr,Leg2_Payoff_FwdMsr,DiscountFactor,ResultPrice,Leg1_DiscCurveName,Leg1_EstCurveName,Leg2_DiscCurveName,Leg2_EstCurveName,OptionDeclare,OptionPayment
20240927,65.28219178082192,71.81395605936626,5193.93,1785.21,-3070.28,-0.07248066565969814,0.026821178554827015,0.4441546372890287,-0.07248066565969814,0.026821178554827015,0.4441546372890287,65.28219178082192,71.81395605936626,0.9928698091155505,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20241227,64.57260273972602,66.86923968463722,5244.23,1758.4,-3092.2,-0.073963039350202,0.025309659644921687,0.442235090086793,-0.073963039350202,0.025309659644921687,0.442235090086793,64.57260273972602,66.90449528015283,0.986271211355045,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20250327,63.863013698630134,62.407379946382235,5038.73,1630.65,-2067.54,-0.07439520913109625,0.024850009231450188,0.4422311747972043,-0.07439520913109625,0.024850009231450188,0.4422311747972043,63.863013698630134,62.64224169049729,0.9801314482480836,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20250529,0.0,0.0,4819.0,1546.1,-1047.34,-0.07431700786449649,0.024930204104410825,0.44231975389018563,-0.07431700786449649,0.024930204104410825,0.44231975389018563,0.0,0.0,0.9759105029036931,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,OptionExerciseDeclare,
20250627,65.28219178082192,62.635639706668975,4831.15,1514.21,-1049.38,-0.07421013015856512,0.02502319154296597,0.44292630787894394,-0.07421013015856512,0.02502319154296597,0.44292630787894394,65.28219178082192,62.86392009661062,0.9740084493149677,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,OptionExercisePayment
20250929,66.7013698630137,64.44328780928222,4616.3,1420.15,-4131.67,-0.07473361227836899,0.024511428259603327,0.44160615955634064,-0.07473361227836899,0.024511428259603327,0.44160615955634064,66.7013698630137,64.66923384314829,0.9677500836687178,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20251229,64.57260273972602,61.11068415407953,4393.0,1315.91,-3084.38,-0.07470996136304421,0.02453567548685686,0.4416329128893147,-0.07470996136304421,0.02453567548685686,0.4416329128893147,64.57260273972602,61.31562463393047,0.9618524254415568,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20260327,62.443835616438356,59.15450528338093,4173.97,1203.14,-2065.28,-0.07501359667033022,0.024198791585420452,0.44201375051542335,-0.07501359667033022,0.024198791585420452,0.44201375051542335,62.443835616438356,59.35269067446209,0.9561765509287895,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20260601,0.0,0.0,3953.94,1116.63,-1069.66,-0.0746575900033132,0.0245809394116151,0.4419339742442296,-0.0746575900033132,0.0245809394116151,0.4419339742442296,0.0,0.0,0.9519917745581372,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,OptionExerciseDeclare,
20260629,66.7013698630137,62.32017558984993,3963.55,1086.27,-1071.64,-0.07447139973914023,0.02477187627531582,0.44214487319049556,-0.07447139973914023,0.02477187627531582,0.44214487319049556,66.7013698630137,62.546073959997905,0.9502332152328693,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,OptionExercisePayment
20260928,64.57260273972602,61.760020302842186,3733.55,1002.05,-4094.57,-0.07462430769220482,0.024623488748773535,0.4417298022124119,-0.07462430769220482,0.024623488748773535,0.4417298022124119,64.57260273972602,61.96951314541089,0.9443809370867451,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20261228,64.57260273972602,61.39006783940799,3511.39,904.86,-3083.58,-0.07477079748283005,0.024473305502379125,0.4415640965687983,-0.07477079748283005,0.024473305502379125,0.4415640965687983,64.57260273972602,61.59501401018353,0.9385996313424957,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20270329,64.57260273972602,61.01563837579453,3287.04,792.27,-2064.71,-0.07491077819567953,0.024321296623142183,0.4416471863006489,-0.07491077819567953,0.024321296623142183,0.4416471863006489,64.57260273972602,61.22057691960317,0.932888434526164,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20270531,0.0,0.0,3053.0,707.88,-1034.59,-0.07421238733931189,0.025037491749369905,0.44243825825246885,-0.07421238733931189,0.025037491749369905,0.44243825825246885,0.0,0.0,0.9289751511726337,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,OptionExerciseDeclare,
20270628,64.57260273972602,60.63665733440928,3060.6,675.06,-1036.52,-0.07386818650828338,0.02539046738669197,0.4428281368150779,-0.07386818650828338,0.02539046738669197,0.4428281368150779,64.57260273972602,60.84612653235006,0.9272464962374902,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,OptionExercisePayment
20270927,64.57260273972602,63.30226115586217,2832.77,606.78,-4114.23,-0.07381135484941148,0.025456938619748598,0.44264939444793816,-0.07381135484941148,0.025456938619748598,0.44264939444793816,64.57260273972602,63.51178645963137,0.921394871144221,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20271228,65.28219178082192,64.16543432922934,2606.03,525.3,-3102.62,-0.0737711630607689,0.025498143766338948,0.4426948584094656,-0.0737711630607689,0.025498143766338948,0.4426948584094656,65.28219178082192,64.37267544710579,0.9155012869945824,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20280327,63.863013698630134,62.87213531426042,2374.46,426.13,-2070.39,-0.07372456167308829,0.025537753689246094,0.4429908216178229,-0.07372456167308829,0.025537753689246094,0.4429908216178229,63.863013698630134,63.074873260026294,0.9097632179104329,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20280529,0.0,0.0,2141.29,343.33,-1049.17,-0.0738412561362911,0.025418084302051735,0.4428586410259225,-0.0738412561362911,0.025418084302051735,0.4428586410259225,0.0,0.0,0.9057626590170083,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,OptionExerciseDeclare,
20280627,65.28219178082192,64.3691325865929,2147.16,297.85,-1051.3,-0.07390006997691816,0.025357771104036704,0.44279202219883596,-0.07390006997691816,0.025357771104036704,0.44279202219883596,65.28219178082192,64.58096818016185,0.9039255790049376,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,OptionExercisePayment
20280927,65.28219178082192,63.915477851270595,1912.46,256.71,-4120.57,-0.07389512917365336,0.025371052088507106,0.4425546309954318,-0.07389512917365336,0.025371052088507106,0.4425546309954318,65.28219178082192,64.12730389627988,0.8981658833498529,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20281227,59.087671232876716,60.262075069976625,1675.22,203.29,-3097.19,-0.07388812844167872,0.025386438300594606,0.4423197129059888,-0.07388812844167872,0.025386438300594606,0.4423197129059888,59.087671232876716,60.46705920531032,0.8925021681187925,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20290327,58.438356164383556,59.6377930699593,1441.2,130.41,-2074.09,-0.0738597272194399,0.025399142330508526,0.4428377187076169,-0.0738597272194399,0.025399142330508526,0.4428377187076169,58.438356164383556,59.83608452218644,0.8869326753919536,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20290529,0.0,0.0,1204.9,-1.26,-1051.31,-0.0734939153171693,0.025774279976045592,0.44325207627385577,-0.0734939153171693,0.025774279976045592,0.44325207627385577,0.0,0.0,0.8830528700510498,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,OptionExerciseDeclare,
20290627,59.73698630136986,60.99509847689821,1208.3,-1.26,-1053.43,-0.0733148482307736,0.025957912068841568,0.4434549067494414,-0.0733148482307736,0.025957912068841568,0.4434549067494414,59.73698630136986,61.20692671676265,0.8812721249179801,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,OptionExercisePayment
20290927,59.73698630136986,62.40350439269656,968.12,-14.81,-4128.68,-0.07325081250949171,0.026031613946889038,0.44328346613862035,-0.07325081250949171,0.026031613946889038,0.44328346613862035,59.73698630136986,62.615362276793675,0.8755251759286778,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20291227,59.087671232876716,61.90895531964116,727.07,-10.6,-3101.63,-0.07319303681298292,0.026098860588253725,0.4431049204862947,-0.07319303681298292,0.026098860588253725,0.4431049204862947,59.087671232876716,62.11397300121358,0.8698618746217527,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20300327,58.438356164383556,61.394450765557124,486.68,-6.72,-2077.09,-0.07311401428376227,0.02616386593080706,0.44368239269231247,-0.07311401428376227,0.02616386593080706,0.44368239269231247,58.438356164383556,61.59277683411773,0.8642827839701547,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
20300627,59.73698630136986,62.92262097628082,247.05,-3.19,-1055.56,-0.07304435266957793,0.02623530344764854,0.44376129886440374,-0.07304435266957793,0.02623530344764854,0.44376129886440374,59.73698630136986,63.13448978678256,0.8586023440729841,1785.2060097408203,TempCurve,TempCurve,TempCurve,TempCurve,,
