PriceDate,RefRateType,DayCountFlag,HolidayFlag,FXSpot,SwapPointUnit,ProductType,EstStartDate,SwapMaturity,MarketQuote,NCpnAnn,AdditionalHolidays,USD ZeroCurveTerm,USD ZeroCurve,Estimation ZeroCurveTerm,Estimation ZeroCurve
45538 ,0,0,0,1426.95,100,0,45538,45539,3.75,1,45292,45637,4.663590944,45637,4.699697
,,,,,,0,45539,45546,3.78,1,,45649,4.652390747,45643,4.699881
,,,,,,0,45539,45569,3.85,1,,45672,4.504676216,45667,4.689648
,,,,,,0,45539,45630,3.88,1,,45702,4.461907829,45698,4.674393
,,,,,,0,45539,45720,3.9955,1,,45730,4.435355242,45726,4.615635
,,,,,,1,45539,45904,3.887,4,,45824,4.298216402,45818,4.481552
,,,,,,1,45539,46085,3.796,4,,45916,4.186333915,45910,4.352126
,,,,,,1,45539,46269,3.7305,4,,46007,4.101891559,46001,4.251336
,,,,,,1,45539,46634,3.5955,4,,46189,3.982150795,46183,4.108543
,,,,,,1,45539,47365,3.528,4,,46372,3.902358082,46366,4.011447
,,,,,,1,45539,49191,3.431,4,,46736,3.805341393,46731,3.875196
,,,,,,,,,,,,47101,3.742328718,47098,3.78863
,,,,,,,,,,,,47466,3.70394695,47462,3.733916
,,,,,,,,,,,,47833,3.687172777,47827,3.700184
,,,,,,,,,,,,48198,3.678666676,48192,3.68712
,,,,,,,,,,,,48563,3.677510529,48558,3.688794
,,,,,,,,,,,,48927,3.680693383,48925,3.70239
,,,,,,,,,,,,49292,3.68830703,49289,3.722733
,,,,,,,,,,,,50025,3.711695012,50019,3.781072
,,,,,,,,,,,,51118,3.740171189,51116,3.858865
,,,,,,,,,,,,52945,3.719906443,52943,3.922826
,,,,,,,,,,,,54772,3.610455685,54767,3.918532
,,,,,,,,,,,,56599,3.474782284,56593,3.865094
,,,,,,,,,,,,60252,3.161345603,60246,3.679914
,,,,,,,,,,,,63902,2.839030502,63898,3.450318
