Type,StartDate,Maturity,MarketQuote
sp,2026-01-09,2026-01-12,0.0
sp,2026-01-12,2026-01-13,0.0
sp,2026-01-13,2026-01-20,-35.0
sp,2026-01-13,2026-02-13,-175.0
sp,2026-01-13,2026-04-13,-370.0
sp,2026-01-13,2026-04-13,-570.0
sp,2026-01-13,2026-07-13,-1300.0
sp,2026-01-13,2027-01-13,-2790.0
sw,2026-01-13,2027-01-13,2.035
sw,2026-01-13,2028-01-13,1.965
sw,2026-01-13,2029-01-15,1.925
sw,2026-01-13,2030-01-14,1.89
sw,2026-01-13,2031-01-13,1.875
sw,2026-01-13,2032-01-13,1.88
sw,2026-01-13,2033-01-13,1.885
sw,2026-01-13,2034-01-13,1.885
sw,2026-01-13,2035-01-15,1.88
sw,2026-01-13,2036-01-14,1.9
sw,2026-01-13,2037-01-13,1.9
sw,2026-01-13,2038-01-13,1.88
sw,2026-01-13,2041-01-14,1.84
sw,2026-01-13,2046-01-15,1.77
