Type,StartDate,Maturity,MarketQuote
dg,2026-01-19,2026-01-20,5.7
sw,2026-01-20,2026-01-29,5.6925
sw,2026-01-20,2026-03-24,5.5555
sw,2026-01-20,2026-04-22,5.514
sw,2026-01-20,2026-05-22,5.4955
sw,2026-01-20,2026-08-24,5.387
sw,2026-01-20,2026-11-24,5.296
sw,2026-01-20,2027-01-22,5.2305
sw,2026-01-20,2027-01-22,5.0955
sw,2026-01-20,2028-01-24,5.028
sw,2026-01-20,2029-01-24,4.931
sw,2026-01-20,2030-01-23,4.8685
sw,2026-01-20,2031-01-22,4.8305
sw,2026-01-20,2032-01-22,4.8135
sw,2026-01-20,2033-01-24,4.8045
sw,2026-01-20,2034-01-24,4.8025
sw,2026-01-20,2035-01-24,4.8045
sw,2026-01-20,2036-01-23,4.8105
sw,2026-01-20,2038-01-22,4.8295
sw,2026-01-20,2041-01-23,4.8525
sw,2026-01-20,2046-01-24,4.8385
sw,2026-01-20,2051-01-24,4.7635
sw,2026-01-20,2056-01-24,4.6735
sw,2026-01-20,2066-01-22,4.474
sw,2026-01-20,2076-01-22,4.274
