Term,Rate,PriceDate,NBD,StartDate,EndDate,PayDate
0.00274,3.7989,20250304,0,20250304,20250305,20250305
0.00548,3.7992,20250304,0,20250305,20250306,20250306
0.25479,3.8394,20250304,0,20250305,20250604,20250604
0.506849,3.7554,20250304,0,20250305,20250904,20250904
0.756164,3.6807,20250304,0,20250305,20251204,20251204
1.00274,3.633,20250304,0,20250305,20260305,20260305
1.512329,3.5806,20250304,0,20250305,20260907,20260907
2.00274,3.5455,20250304,0,20250305,20270305,20270305
3.00822,3.5154,20250304,0,20250305,20280306,20280306
4.00548,3.5235,20250304,0,20250305,20290305,20290305
5.00548,3.5264,20250304,0,20250305,20300305,20300305
6.00548,3.5397,20250304,0,20250305,20310305,20310305
7.008219,3.5531,20250304,0,20250305,20320304,20320304
8.013699,3.5638,20250304,0,20250305,20330307,20330307
9.010959,3.5719,20250304,0,20250305,20340306,20340306
10.00822,3.5856,20250304,0,20250305,20350305,20350305
12.01096,3.6049,20250304,0,20250305,20370305,20370305
15.0137,3.5598,20250304,0,20250305,20400305,20400305
20.01918,3.4243,20250304,0,20250305,20450306,20450306
25.02466,3.2474,20250304,0,20250305,20500307,20500307
30.02192,3.1085,20250304,0,20250305,20550305,20550305
