Term,Rate,PriceDate,NBD,StartDate,EndDate,PayDate
0.00274,2.4989,20250304,0,20250304,20250305,20250305
0.00548,2.4992,20250304,0,20250305,20250306,20250306
0.25479,2.5394,20250304,0,20250305,20250604,20250604
0.506849,2.4554,20250304,0,20250305,20250904,20250904
0.756164,2.3807,20250304,0,20250305,20251204,20251204
1.00274,2.333,20250304,0,20250305,20260305,20260305
1.512329,2.2806,20250304,0,20250305,20260907,20260907
2.00274,2.2455,20250304,0,20250305,20270305,20270305
3.00822,2.2154,20250304,0,20250305,20280306,20280306
4.00548,2.2235,20250304,0,20250305,20290305,20290305
5.00548,2.2264,20250304,0,20250305,20300305,20300305
6.00548,2.2397,20250304,0,20250305,20310305,20310305
7.008219,2.2531,20250304,0,20250305,20320304,20320304
8.013699,2.2638,20250304,0,20250305,20330307,20330307
9.010959,2.2719,20250304,0,20250305,20340306,20340306
10.00822,2.2856,20250304,0,20250305,20350305,20350305
12.01096,2.3049,20250304,0,20250305,20370305,20370305
15.0137,2.2598,20250304,0,20250305,20400305,20400305
20.01918,2.1243,20250304,0,20250305,20450306,20450306
25.02466,1.9474,20250304,0,20250305,20500307,20500307
30.02192,1.8085,20250304,0,20250305,20550305,20550305
