Date,USD/KRW,EUR/USD,KRW/KRW,CNH/KRW,CNY/KRW,EUR/KRW,JPY/KRW,HKD/KRW,GBP/KRW,CAD/KRW,BRL/KRW,THB/KRW,BRL/USD,CAD/USD,CNY/USD,GBP/USD,HKD/USD,JPY/USD,THB/USD
2024-12-10,1426.95,1.0521,1,197.78,197.78,1501.74,9.3843,183.99,1823.96,1010.38,240.22,42.25,0.167927298,0.706312478,0.137378539,1.275050682,0.128619364,0.006560154,0.029535128
2024-12-11,1430.5,1.049800769,1,196.52,196.52,1501.74,9.3843,183.99,1823.96,1010.38,240.22,42.25,0.167927298,0.706312478,0.137378539,1.275050682,0.128619364,0.006560154,0.029535128
2024-12-12,1431.8,1.046996787,1,196.8,196.8,1499.09,9.3842,184.15,1814.95,1007.07,238.73,42.18,0.166734181,0.703359408,0.137449364,1.267600223,0.128614332,0.006554128,0.029459422
2024-12-13,1436.2,1.049651859,1,197.25,197.25,1507.51,9.3469,184.7,1812.2,1008.82,237.15,42.06,0.165123242,0.702423061,0.137341596,1.261801977,0.128603259,0.006508077,0.029285615
2024-12-16,1438.5,1.050997567,1,197.29,197.29,1511.86,9.3327,185.03,1824.45,1010.22,233.96,42.22,0.162641641,0.702273201,0.137149809,1.268300313,0.128627042,0.0064878,0.029350017
2024-12-17,1438.2,1.049450702,1,197.35,197.35,1509.32,9.3715,185.09,1828.31,1004.96,235.57,42.07,0.163795022,0.698762342,0.137220136,1.271248783,0.128695592,0.006516131,0.029251843
2024-12-18,1451.7,1.035096783,1,198.16,198.16,1502.65,9.3806,186.81,1824.86,1004.91,230.79,42.06,0.158979128,0.6922298,0.136502032,1.257050355,0.128683612,0.006461803,0.028972928
2024-12-19,1448,1.036546961,1,198.1,198.1,1500.92,9.1969,186.36,1810.94,1005.8,235.33,41.89,0.162520718,0.69461326,0.136809392,1.250649171,0.128701657,0.00635145,0.028929558
2024-12-20,1449.5,1.043201104,1,198.66,198.66,1512.12,9.2816,186.53,1824.12,1009.61,238.54,42.28,0.164567092,0.696522939,0.137054157,1.258447741,0.128685754,0.006403311,0.029168679
2024-12-23,1452.6,1.040603057,1,198.79,198.79,1511.58,9.2431,186.93,1821.27,1010.61,234.5,42.39,0.161434669,0.695724907,0.136851163,1.253800083,0.128686493,0.006363142,0.029182156
2024-12-24,1459.2,1.0393983,1,199.74,199.74,1516.69,9.283,187.85,1829.11,1016.09,235.67,42.73,0.161506305,0.696333607,0.136883224,1.253501919,0.128734923,0.006361705,0.029283169
2024-12-26,1469.2,1.042397223,1,201.18,201.18,1531.49,9.3049,189.13,1840.54,1019.78,237.68,43.11,0.161775116,0.694105636,0.136931663,1.252749796,0.128729921,0.006333311,0.029342499
2024-12-27,1476,1.042649051,1,202.17,202.17,1538.95,9.348,190.15,1856.73,1023.72,238.34,43.34,0.161476965,0.693577236,0.136971545,1.257947154,0.128827913,0.006333333,0.029363144
2024-12-30,1471.8,1.040297595,1,201.26,201.26,1531.11,9.3799,189.51,1846.74,1025.5,238.23,43.05,0.161863025,0.696765865,0.136744123,1.254749287,0.128760701,0.006373081,0.029249898
2024-12-31,1477,1.035748138,1,201.45,201.45,1529.8,9.3909,190.12,1848.39,1026.84,238.82,43.05,0.16169262,0.695220041,0.136391334,1.251448883,0.128720379,0.006358091,0.029146919
2025-01-02,1471.5,1.026653075,1,200.47,200.47,1510.72,9.3449,189.21,1822.01,1021.34,239.17,42.76,0.162534828,0.69408087,0.136235134,1.238199117,0.128583078,0.006350595,0.029058784
2025-01-03,1471,1.03025153,1,199.92,199.92,1515.5,9.3536,189.08,1827.06,1017.99,237.96,42.71,0.161767505,0.692039429,0.135907546,1.242053025,0.128538409,0.006358668,0.02903467
